playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
chenwe02,2017,1,MIA,NL,P,9,5,99,3,8,0,0,,,,,
chiriro01,2017,1,TEX,AL,C,85,80,2074,559,24,6,2,4,,46,15,
chiselo01,2017,1,CLE,AL,1B,7,0,39,14,1,0,4,,,,,
chiselo01,2017,1,CLE,AL,OF,75,60,1608,102,2,0,1,,,,,
choiji01,2017,1,NYA,AL,1B,6,4,120,35,1,1,3,,,,,
choosh01,2017,1,TEX,AL,OF,77,75,1943,151,7,4,0,,,,,
cingrto01,2017,1,CIN,NL,P,25,0,70,0,3,0,0,,,,,
cingrto01,2017,2,LAN,NL,P,22,0,58,1,2,0,0,,,,,
cishest01,2017,1,SEA,AL,P,23,0,60,2,3,1,1,,,,,
cishest01,2017,2,TBA,AL,P,26,0,74,0,2,2,0,,,,,
claibpr01,2017,1,TEX,AL,P,1,0,6,0,0,0,0,,,,,
claudal01,2017,1,TEX,AL,P,70,1,248,2,14,0,3,,,,,
clevimi01,2017,1,CLE,AL,P,27,21,365,5,15,2,1,,,,,
clippty01,2017,1,NYA,AL,P,40,0,109,0,3,1,0,,,,,
clippty01,2017,2,CHA,AL,P,11,0,30,1,1,1,0,,,,,
clippty01,2017,3,HOU,AL,P,16,0,42,0,1,0,0,,,,,
cloydty01,2017,1,SEA,AL,P,1,0,3,0,0,0,0,,,,,
cobbal01,2017,1,TBA,AL,P,29,29,538,15,26,3,1,,,,,
coghlch01,2017,1,TOR,AL,2B,3,3,69,2,10,0,1,,,,,
coghlch01,2017,1,TOR,AL,3B,18,13,334,6,22,4,3,,,,,
coghlch01,2017,1,TOR,AL,OF,8,6,164,7,0,0,0,,,,,
coleaj01,2017,1,WAS,NL,P,11,8,156,3,5,0,0,,,,,
colege01,2017,1,PIT,NL,P,33,33,609,16,30,2,5,,,,,
colemdu01,2017,1,SDN,NL,SS,27,19,525,28,67,4,16,,,,,
coleta01,2017,1,TOR,AL,P,1,0,3,0,0,0,0,,,,,
collity01,2017,1,DET,AL,OF,44,39,1038,95,3,2,0,,,,,
collmjo01,2017,1,ATL,NL,P,11,0,51,1,5,0,0,,,,,
colomal01,2017,1,TBA,AL,P,65,0,200,5,10,0,0,,,,,
colonba01,2017,1,ATL,NL,P,13,13,189,3,19,2,3,,,,,
